user_id,round_idx,song_id,track_name,rating
U0001,1,5AGQSF0ytihJyt96K5vW9d,Heartbeat,1
U0001,2,57bgtoPSgt236HzfBOd8kj,Thunderstruck,3
U0001,3,65H6t1WQBim6q93yM8fEwn,Obsesion,3
U0001,4,0dXNQ8dckG4eYfEtq9zcva,All Night,4
U0001,5,7H7NyZ3G075GqPx2evsfeb,Chamber Of Reflection,4
U0001,6,34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,2
U0001,7,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,4
U0001,8,4ofwffwvvnbSkrMSCKQDaC,Shotgun,4
U0001,9,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),4
U0001,10,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,4
U0001,11,4NUt1fcnO9aQAELBgXq3Kr,Me Dediqué a Perderte,3
U0001,12,6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,4
U0001,13,67iAlVNDDdddxqSD2EZhFs,I'm Gonna Be (500 Miles),2
U0001,14,3nnG7AM9QopHVPEuLX3Khk,Let It Go,4
U0001,15,1tNJrcVe6gwLEiZCtprs1u,3 Nights,4
U0001,16,27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),4
U0001,17,4Ce37cRWvM1vIGGynKcs22,Starving,4
U0001,18,2xql0pid3EUwW38AsywxhV,Reflections,4
U0001,19,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),4
U0001,20,63SevszngYpZOwf63o61K4,Nevermind,4
U0001,21,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),4
U0001,22,1vPaFVYwBaI47DHigQHFPp,What A Time,3
U0001,23,5ygDXis42ncn6kYG14lEVG,Baby Shark,4
U0001,24,48QmG1dfvMuYLxMPt7KSRA,No Lie,4
U0001,25,43zdsphuZLzwA9k4DJhU0I,when the party's over,4
U0001,26,6mapJIPnQ23RTAevUoE0DL,Swang,3
U0001,27,7LpMG3AEaIJgs62HQhAa91,i'm so tired...,4
U0001,28,6VObnIkLVruX4UVyxWhlqm,Skyfall,3
U0001,29,37l31PrCNsg8baUjarNAi9,I Can't Handle Change,3
U0001,30,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,2
U0001,31,0b6wdul3A5sQNpIOv03OxP,Ocean Drive,4
U0001,32,2RSHsoi04658QL5xgQVov3,Bad Liar,4
