user_id,round_idx,song_id,track_name,rating
U0001,1,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,5
U0001,2,2nLtzopw4rPReszdYBJU6h,Numb,5
U0001,3,0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,4
U0001,4,6ku3i5WNrsY3qhOq6ua9TL,Vem Dancar Kuduro,4
U0001,5,3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,3
U0001,6,2iUXsYOEPhVqEBwsqP70rE,Youngblood,4
U0001,7,34xGLuxM0rkxhCVyMSqwJO,Stolen Dance,3
U0001,8,03aENfSuuy3VS0sbgH7u1D,Mi Gente,2
U0001,9,1htQDV8JxSuXG2QsNj5ttr,Last Friday Night (T.G.I.F.),5
U0001,10,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,4
U0001,11,2RSHsoi04658QL5xgQVov3,Bad Liar,3
U0001,12,4fouWK6XVHhzl78KzQ1UjL,abcdefu,2
U0001,13,41Ee1u8ignxtICyaPI5OqO,Dior - Bonus,5
U0001,14,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,1
U0001,15,5M830cD7MNeiiwIGHzH9TV,Bailando - Spanish Version,5
U0001,16,31i56LZnwE6uSu3exoHjtB,Neverita,2
U0001,17,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),4
